id,breed
0162107acd8f2588c0944b791d61bb0c,affenpinscher
0484a6cc686a07e1edacd0fb44b1d965,affenpinscher
10edc6f98c2423e4e195e09a86b0d292,affenpinscher
18b4e732c105272f40956c2f85813bcb,affenpinscher
19a8c1698819d382c3ead14bdc1a360b,affenpinscher
19de1db12b3ddc7f2af6d9453c977083,affenpinscher
20430175869defec1722d3432f42ebd7,affenpinscher
32249ae4f7590aede350e2b08b322ac4,affenpinscher
482e38adec95d535eb4677504a82e1a4,affenpinscher
4a6cff93d44190c7e2410799f729a4d0,affenpinscher
4cb48a54b94e4c7dcf9798f7cc7f5a92,affenpinscher
5b154e409fe61a86f37e842480f44a10,affenpinscher
5cdfe257b5fd7f189e724c8f54ff4bbd,affenpinscher
5ed432dc19e835ecacfbeea92c7cfc83,affenpinscher
6771e15f52bf889dd309f013710995e4,affenpinscher
6a2e04aaaa7dc4044b39262db289a12c,affenpinscher
6c2a583219893f8c5adc7f604f802a54,affenpinscher
77ca5fe121dc5b6522a7837d05d1ede7,affenpinscher
7c19536a7d66e009fa25d68fdcc17bc6,affenpinscher
7d4818d89173768ccccd1fd8fc892d0d,affenpinscher
80eb30c084e6d6ad0c1a52ebfc066afa,affenpinscher
8d19b5c9f212ccbc4df8546c7a572919,affenpinscher
905a5a1957e65d2fb2ec199eedfd3dea,affenpinscher
a694bb8740fe5042c5d1b1a19445a250,affenpinscher
a7b2a87a394fd17c848d2bf21cb7fe59,affenpinscher
aa66749e1fef393bd14b27e0e305b82a,affenpinscher
acf27cad5544fbed6baa345666f87700,affenpinscher
b03a73190ffd9c423257b94927599460,affenpinscher
b9e9ce2495d96099fc799022fc074d0b,affenpinscher
c14d79e9e4e88583fcb603aad4ca2493,affenpinscher
c32fb0c78bfc35f176ae7090155ef2c9,affenpinscher
cf44ff5245f6b6c1ea2ad82930bfb237,affenpinscher
de5e511f50c8e04008da3de616f254fc,affenpinscher
e3485777ce8e1a08de482429cd38a420,affenpinscher
